cabecera,departamento,codigo,the_geom,cartodb_id,created_at,updated_at
CHACABUCO,CHACABUCO,06210,0101000020E6100000282BF59A382A4EC0A0170040345141C0,1,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
JOSE MARIA EZEIZA,EZEIZA,06270,0101000020E61000008AFC03DB67494DC09B9BFFEFD96F41C0,2,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
TANDIL,TANDIL,06791,0101000020E6100000C4475DE6799E4DC05840FF0F60A542C0,3,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
CORONEL SUAREZ,CORONEL SUAREZ,06203,0101000020E6100000E3AEF06A4EF04EC040C2FF6F8FC942C0,4,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
LOBERIA,LOBERIA,06476,0101000020E6100000A8B614A049584DC0700600400E0943C0,5,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
MIRAMAR,GENERAL ALVARADO,06280,0101000020E6100000E6003C3DB1074DC010EBFFAFA91943C0,6,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
CHASCOMUS,CHASCOMUS,06217,0101000020E6100000AF043DB94DF04CC0241F00E0B4D741C0,7,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
LOBOS,LOBOS,06483,0101000020E6100000CC51D77F38934DC06C2300605E9841C0,8,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
TORNQUIST,TORNQUIST,06819,0101000020E6100000429746ACE2174FC054460090A32143C0,9,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
FLORENTINO AMEGHINO,FLORENTINO AMEGHINO,06277,0101000020E6100000588D0F1948354FC0BC71FF4FAD6F41C0,10,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
MARCOS PAZ,MARCOS PAZ,06525,0101000020E61000004437CB9ED86A4DC0F40D00E00E6941C0,11,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
BERAZATEGUI,BERAZATEGUI,06091,0101000020E6100000CB99F9C01B124DC09C0100900B6C41C0,12,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
GENERAL PINTO,GENERAL PINTO,06351,0101000020E610000050673D5724FD4EC0343D0060375B41C0,13,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
SAN JUSTO,LA MATANZA,06427,0101000020E610000042494FD84B514DC0F0AD00C0006341C0,14,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
AZUL,AZUL,06049,0101000020E610000001959DF12ED74DC03404FF0F1B6B42C0,15,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
LUJAN,LUJAN,06497,0101000020E61000006B88B2F1D9944DC028FCFE3F614B41C0,16,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
MAR DEL PLATA,GENERAL PUEYRREDON,06357,0101000020E6100000363E87B64CE44CC0C419000079FC42C0,17,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
BARADERO,BARADERO,06070,0101000020E61000001CAB84FF9AB84DC05823FFEFEFF340C0,18,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
ZARATE,ZARATE,06882,0101000020E61000000877D186C8924DC07C1500806F0041C0,19,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
SAN PEDRO,SAN PEDRO,06770,0101000020E61000005C1AF17D31E94DC03C4C00A0F8E540C0,20,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
RAMALLO,RAMALLO,06665,0101000020E6100000B2A71420B1044EC050D000C06CCB40C0,21,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
SAN NICOLAS DE LOS ARROYOS,SAN NICOLAS,06763,0101000020E61000005CE6C0FA2E254EC01C754E954ABC40C0,22,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
PERGAMINO,PERGAMINO,06623,0101000020E61000009078DA6C724A4EC024A200A076EE40C0,23,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
