distrito,intendente,cargo,compite,mandatos,tiempo,antes,pt2011,votos_2011,frentealianza_2015,frente_2011
LA MATANZA,FERNANDO ESPINOZA,INTENDENTE,VICE GOBERNADOR,2,10,ALBERTO BALESTRINI,"60,56",392535,FPV,FPV
LOMAS DE ZAMORA,MARTIN INSAURRALDE,INTENDENTE,INTENDENTE,1,5,JORGE OMAR ROSSI,"66,22",215877,FPV,FPV
ALMIRANTE BROWN,DANIEL BOLETTIERI,INTENDENTE,CONCEJAL,0,2,DARÍO GIUSTOZZI,"71,88",196698,FPV,FPV
TIGRE,JULIO ZAMORA,INTENDENTE,INTENDENTE,0,2,SERGIO MASSA,"73,14",130810,UNA,FPV
MERLO,RAÚL OTHACEHÉ,INTENDENTE,INTENDENTE,6,24,GUSTAVO GREEN,"47,89",119016,FPV,FPV
QUILMES,FRANCISCO GUTIERREZ,INTENDENTE,INTENDENTE,2,8,SERGIO VILLORDO,"37,3",115974,FPV,FPV
BERAZATEGUI,PATRICIO MUSSI,INTENDENTE,INTENDENTE,1,5,JUAN JOSÉ MUSSI,"67,63",111921,FPV,FPV
AVELLANEDA,JORGE FERRARESI,INTENDENTE,INTENDENTE,1,6,CACHO ALVAREZ,"55,99",110786,FPV,FPV
LANÚS,DARÍO DÍAZ PEREZ,INTENDENTE,SENADOR PROVINCIAL 3° SECCIÓN,2,8,MANUEL QUINDIMIL,"40,7",109419,FPV,FPV
MORENO,MARIANO WEST,INTENDENTE,INTENDENTE,3,10,ALBERTO ASSEFF,"48,02",94446,FPV,FPV
MALVINAS ARGENTINAS,JESÚS CARIGLINO,INTENDENTE,INTENDENTE,5,20,Municipio creado en 1995. No tiene predecesor.,"54,93",93569,UNA,FRENTE POPULAR
FLORENCIO VARELA,JULIO PEREYRA,INTENDENTE,INTENDENTE,5,23,JULIO CARPINETTI,"50,58",90521,FPV,FPV
GENERAL SAN MARTÍN,GABRIEL KATOPODIS,INTENDENTE,INTENDENTE,1,4,DANIEL IVOSKUS,"37,72",89297,FPV,FRENTE SOCIAL DE LA PCIA. DE BS. AS.
TRES DE FEBRERO,HUGO CURTO,INTENDENTE,INTENDENTE,6,24,JORGE MANGAS,"48,02",88268,FPV,FPV
ESTEBAN ECHEVERRIA,FERNANDO GRAY,INTENDENTE,INTENDENTE,2,8,ALBERTO GROPPI,"63,26",86910,FPV,FPV
SAN ISIDRO,GUSTAVO POSSE,INTENDENTE,INTENDENTE,4,16,MELCHOR POSSE,"44,6",84793,CAMBIEMOS ,UNIÓN PARA EL DESARROLLO SOCIAL
JOSÉ C. PAZ,CARLOS N URQUIAGA,INTENDENTE,DIPUTADO PROVINCIAL,1,4,MARIO ISHII,"65,28",80224,FPV,FPV
MORÓN,LUCAS GHI,INTENDENTE,CONCEJAL,1,6,MARTÍN SABBATELLA,"41,85",77697,FPV,NUEVO ENCUENTRO
SAN MIGUEL,JOAQUÍN DE LA TORRE,INTENDENTE,INTENDENTE,2,8,OSCAR ZILOCCHI,"53,43",72256,UNA,FPV
VICENTE LOPEZ,JORGE MACRI,INTENDENTE,INTENDENTE,1,4,ENRIQUE GARCÍA,"38,42",62154,CAMBIEMOS ,FRENTE POPULAR
HURLINGHAM,LUIS E. ACUÑA,INTENDENTE,INTENDENTE,3,14,JUAN JOSÉ ÁLVAREZ,"47,8",48730,UNA,FPV
EZEIZA,ROBERTO CICCO,INTENDENTE,SIN INFORMACIÓN,0,2,ALEJANDRO GRANADOS,"66,79",46955,FPV,FPV
SAN FERNANDO,LUIS ANDREOTTI,INTENDENTE,INTENDENTE,1,6,OSVALDO AMIEIRO,"44,28",40604,UNA,FUERZA ORGANIZADA RENOVADORA DEMOCRATICA
ITUZAINGO,ALBERTO DESCALZO,INTENDENTE,INTENDENTE,5,20,Municipio creado en 1995. No tiene predecesor.,"41,78",40498,FPV,FPV
