id,distrito,candidato,cargo,frente_alianza,actividad_actual,referente,agrupacion,alineamiento,particularidades,the_geom,cartodb_id,created_at,updated_at
6,Merlo,Jorge Sartori,Intendente,UNA,,,,,,,30,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
13,Tigre,Anibal Diaz,Intendente,PROGRESISTAS,,,,,,,77,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
10,Tres De Febrero,Diego Achilli,Intendente,UNA,CONCEJAL,,,Sola,,,51,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
10,Tres De Febrero,N. Bianchi,Intendente,PROGRESISTAS,,,,,,,56,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
10,Tres De Febrero,Daniel Ferrari,Intendente,PROGRESISTAS,,,,,,,57,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
1,La Matanza,Veronica Magario,Intendente,FPV,DIP NAC,Espinoza,,Dominguez,Hija del contador de Montoneros / Se inició con Balestrini,,1,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
1,La Matanza,Miguel Saredi,Intendente,CAMBIEMOS,DIR DE CS POL - UCES,,PRO,Vidal,Fue director del Mercado Central. Tiene buena relación con Moreno,,2,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
1,La Matanza,Ruben Ledesma,Intendente,UNA,SINDICALISTA,Caamaño,,Sola,,,3,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
1,La Matanza,G. Ferragut,Intendente,PROGRESISTAS,,,,,,,4,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
2,Lomas De Zamora,Martin Isaurralde,Intendente,FPV,INTENDENTE,,PJ,Dominguez,"2 años de gestión interina, en 2011 sacó el 66,33%",,5,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
2,Lomas De Zamora,Juan Maria Viñales,Intendente,FPV,CONCEJAL,Scioli,,,,,6,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
5,Lanús,Julián Álvarez,Intendente,FPV,SEC DE JUS DE LA NAC,,LA CAMPORA,Fernandez,,,21,2015-08-08 13:51:57.537873+00,2015-08-08 14:18:25.3711+00
5,Lanús,Nestor Gindetti,Intendente,CAMBIEMOS,MIN DE HAC DEL GCBA,,PRO,Vidal,,,22,2015-08-08 13:51:57.537873+00,2015-08-08 14:18:25.3711+00
